1962 06 01 13 57 55      4.9313
1962 06 01 14 11 01      5.0354
1962 06 01 14 20 20      4.9421
1962 06 01 14 27 20      4.8798
1962 06 01 14 36 51      4.9388
1962 06 01 14 43 53      4.9070
1962 06 01 14 50 52      4.8294
1962 06 01 14 59 03      4.7668
1962 06 01 15 03 39      4.6745
1962 06 01 15 12 00      4.7490
1962 06 01 15 20 17      4.7778
1962 06 01 15 26 02      4.6548
1962 06 01 15 33 02      4.5924
1962 06 01 15 50 30      4.5922
1962 06 01 15 55 47      4.5358
1962 06 01 16 04 15      4.4371
1962 06 01 16 15 57      4.3655
1962 06 01 16 24 28      4.3084
1962 06 01 16 33 00      4.2790
1962 06 01 16 41 33      4.2496
1962 06 01 16 50 01      4.1649
1962 06 01 16 57 27      4.1080
1962 06 01 17 04 52      4.0234
1962 06 01 17 13 28      4.0494
1962 06 01 17 21 59      3.9923
1962 06 01 17 31 34      3.9488
1962 06 01 17 43 19      3.9049
1962 06 01 17 56 03      3.8055
1962 06 01 18 11 09      3.8717
1962 06 01 18 15 09      3.6355
1962 06 01 18 26 59      3.6746
1962 06 01 18 35 43      3.7976
1962 06 01 18 40 52      3.6165
1962 06 01 18 52 44      3.6834
1962 06 01 19 00 21      3.7788
1962 06 01 19 08 44      3.6109
1962 06 01 19 19 35      3.7196
1962 06 01 19 29 05      3.6069
1962 06 01 19 40 56      3.6461
1962 06 01 19 52 41      3.6160
1962 06 01 20 06 34      3.5717
1962 06 01 20 19 31      3.6384
1962 06 01 20 32 24      3.6497
1962 06 01 20 44 11      3.6473
1962 06 01 20 57 05      3.6724
1962 06 01 21 04 30      3.6017
1962 06 01 21 13 04      3.6000
1962 06 01 21 21 46      3.6952
1962 06 01 21 32 29      3.6931
1962 06 01 21 45 21      3.6905
1962 06 01 22 00 25      3.7429
1962 06 01 22 13 19      3.7819
1962 06 01 22 26 14      3.8209
1962 06 01 22 43 21      3.7898
1962 06 01 22 56 23      3.9257
1962 06 01 23 03 43      3.7857
1962 06 01 23 18 43      3.7827
